original_path,medium_id,original_url,new_dir,date,title
/2015/02/13/post0,,https://blog.jupyter.org/2015/02/13/post0,2015-02-13-post0,2015-02-13,Welcome to Jupyter
/2015/02/13/post0,,https://blog.jupyter.org/2015/02/13/post0,2015-02-13-post0,2015-02-13,Welcome to Jupyter
/the-big-split-9d7b88a031a7,9d7b88a031a7,https://blog.jupyter.org/the-big-split-9d7b88a031a7,2015-04-16-the-big-split,2015-04-16,The Big Split™
/2015/04/15/the-big-split,9d7b88a031a7,https://blog.jupyter.org/2015/04/15/the-big-split,2015-04-16-the-big-split,2015-04-16,The Big Split™
/rendering-notebooks-on-github-f7ac8736d686,f7ac8736d686,https://blog.jupyter.org/rendering-notebooks-on-github-f7ac8736d686,2015-05-07-rendering-notebooks-on-github,2015-05-07,Rendering Notebooks on GitHub
/2015/05/07/rendering-notebooks-on-github,f7ac8736d686,https://blog.jupyter.org/2015/05/07/rendering-notebooks-on-github,2015-05-07-rendering-notebooks-on-github,2015-05-07,Rendering Notebooks on GitHub
/ipython-3-2-released-6072cabb82cc,6072cabb82cc,https://blog.jupyter.org/ipython-3-2-released-6072cabb82cc,2015-06-23-ipython-3-2-released,2015-06-23,IPython 3.2 released
/2015/06/22/ipython-3-2-release-security-update,6072cabb82cc,https://blog.jupyter.org/2015/06/22/ipython-3-2-release-security-update,2015-06-23-ipython-3-2-released,2015-06-23,IPython 3.2 released
/project-jupyter-computatio-nalnarratives-as-the-engine-of-collaborative-data-science-2b5fb94c3c58,2b5fb94c3c58,https://blog.jupyter.org/project-jupyter-computatio-nalnarratives-as-the-engine-of-collaborative-data-science-2b5fb94c3c58,2015-07-08-project-jupyter-computatio-nalnarratives-as-the-engine-of-collaborative-data-sci,2015-07-08,Project Jupyter: Computational Narratives as the Engine of Collaborative Data Science
/2015/07/07/project-jupyter-computational-narratives-as-the-engine-of-collaborative-data-science,2b5fb94c3c58,https://blog.jupyter.org/2015/07/07/project-jupyter-computational-narratives-as-the-engine-of-collaborative-data-science,2015-07-08-project-jupyter-computatio-nalnarratives-as-the-engine-of-collaborative-data-sci,2015-07-08,Project Jupyter: Computational Narratives as the Engine of Collaborative Data Science
/new-funding-for-jupyter-12009a836867,12009a836867,https://blog.jupyter.org/new-funding-for-jupyter-12009a836867,2015-07-08-new-funding-for-jupyter,2015-07-08,New funding for Jupyter
/2015/07/07/jupyter-funding-2015,12009a836867,https://blog.jupyter.org/2015/07/07/jupyter-funding-2015,2015-07-08-new-funding-for-jupyter,2015-07-08,New funding for Jupyter
/jupyter-ascending-1bf5b362d97e,1bf5b362d97e,https://blog.jupyter.org/jupyter-ascending-1bf5b362d97e,2015-08-12-jupyter-ascending,2015-08-12,Jupyter Ascending
/2015/08/12/first-release-of-jupyter,1bf5b362d97e,https://blog.jupyter.org/2015/08/12/first-release-of-jupyter,2015-08-12-jupyter-ascending,2015-08-12,Jupyter Ascending
/jupyterday-nyc-333efb100d08,333efb100d08,https://blog.jupyter.org/jupyterday-nyc-333efb100d08,2015-10-19-jupyterday-nyc,2015-10-19,JupyterDay NYC
/2015/10/19/jupyterday-nyc-oct-24-9-5,333efb100d08,https://blog.jupyter.org/2015/10/19/jupyterday-nyc-oct-24-9-5,2015-10-19-jupyterday-nyc,2015-10-19,JupyterDay NYC
/2015/11/19/project-jupyter-is-hiring-two-postdoctoral-fellows-uc-berkeley,,https://blog.jupyter.org/2015/11/19/project-jupyter-is-hiring-two-postdoctoral-fellows-uc-berkeley,2015-11-19-project-jupyter-is-hiring-two-postdoctoral-fellows-uc-berkeley,2015-11-19,Project Jupyter is hiring two postdoctoral fellows @ UC Berkeley
/2015/11/19/project-jupyter-is-hiring-two-postdoctoral-fellows-uc-berkeley,,https://blog.jupyter.org/2015/11/19/project-jupyter-is-hiring-two-postdoctoral-fellows-uc-berkeley,2015-11-19-project-jupyter-is-hiring-two-postdoctoral-fellows-uc-berkeley,2015-11-19,Project Jupyter is hiring two postdoctoral fellows @ UC Berkeley
/2015/12/14/jupyterday-chicago-2016,,https://blog.jupyter.org/2015/12/14/jupyterday-chicago-2016,2015-12-14-jupyterday-chicago-2016,2015-12-14,JupyterDay Chicago 2016
/2015/12/14/jupyterday-chicago-2016,,https://blog.jupyter.org/2015/12/14/jupyterday-chicago-2016,2015-12-14-jupyterday-chicago-2016,2015-12-14,JupyterDay Chicago 2016
/2015/12/15/continuum-analytics-gift,,https://blog.jupyter.org/2015/12/15/continuum-analytics-gift,2015-12-15-continuum-analytics-gift,2015-12-15,Continuum Analytics donates $100k to Project Jupyter
/2015/12/15/continuum-analytics-gift,,https://blog.jupyter.org/2015/12/15/continuum-analytics-gift,2015-12-15-continuum-analytics-gift,2015-12-15,Continuum Analytics donates $100k to Project Jupyter
/2015/12/22/jupyter-notebook-user-experience-survey,,https://blog.jupyter.org/2015/12/22/jupyter-notebook-user-experience-survey,2015-12-22-jupyter-notebook-user-experience-survey,2015-12-22,Jupyter Notebook User Experience Survey
/2015/12/22/jupyter-notebook-user-experience-survey,,https://blog.jupyter.org/2015/12/22/jupyter-notebook-user-experience-survey,2015-12-22-jupyter-notebook-user-experience-survey,2015-12-22,Jupyter Notebook User Experience Survey
/2015/12/22/hiring-project-manager,,https://blog.jupyter.org/2015/12/22/hiring-project-manager,2015-12-22-hiring-project-manager,2015-12-22,We are hiring a Project Manager at UC Berkeley
/2015/12/22/hiring-project-manager,,https://blog.jupyter.org/2015/12/22/hiring-project-manager,2015-12-22-hiring-project-manager,2015-12-22,We are hiring a Project Manager at UC Berkeley
/notebook-4-1-release-37d6ae621f83,37d6ae621f83,https://blog.jupyter.org/notebook-4-1-release-37d6ae621f83,2016-01-08-notebook-4-1-release,2016-01-08,Notebook 4.1 release
/2016/01/08/notebook-4-1-release,37d6ae621f83,https://blog.jupyter.org/2016/01/08/notebook-4-1-release,2016-01-08-notebook-4-1-release,2016-01-08,Notebook 4.1 release
/jupyterdays-boston-2016-80816ab9954f,80816ab9954f,https://blog.jupyter.org/jupyterdays-boston-2016-80816ab9954f,2016-02-17-jupyterdays-boston-2016,2016-02-17,JupyterDays Boston 2016
/2016/02/16/jupyterdays-boston-2016,80816ab9954f,https://blog.jupyter.org/2016/02/16/jupyterdays-boston-2016,2016-02-17-jupyterdays-boston-2016,2016-02-17,JupyterDays Boston 2016
/2016/02/29/jdboston16-speaker-announcement,,https://blog.jupyter.org/2016/02/29/jdboston16-speaker-announcement,2016-02-29-jdboston16-speaker-announcement,2016-02-29,"Speakers for JupyterDays Boston, March 17-18"
/2016/02/29/jdboston16-speaker-announcement,,https://blog.jupyter.org/2016/02/29/jdboston16-speaker-announcement,2016-02-29-jdboston16-speaker-announcement,2016-02-29,"Speakers for JupyterDays Boston, March 17-18"
/2016/03/09/jupyter-kernel-gateway,,https://blog.jupyter.org/2016/03/09/jupyter-kernel-gateway,2016-03-09-jupyter-kernel-gateway,2016-03-09,Jupyter Kernel Gateway
