bytes	frames	size	duration_ms	short_frames	loop	transparent_first	transparent_any	duplicate	sha256_12	path
4199247	97	1000x600	10960	0	0	False	False	0	8df797b7aa42	archive/raw/52f9657fa7a/images/015-1_m2ElLEj6r-6uDqXmA0tqRw.gif
4102072	213	1200x800	7110	0	0	False	False	0	872a5da33a2a	archive/raw/4f58385e25bb/images/005-1_K24B_sxJ6Y-PHeLTURyRTw.gif
4017608	76	1500x900	7600	0	0	False	False	0	88965db6a97c	archive/raw/f6a2c08a4a93/images/007-1_os2ABw7hEnfd1Dq5pOrTDg.gif
3922205	168	800x500	16800	0	0	False	False	0	a506f48565c9	archive/raw/8d75a0f9d207/images/002-1_cR1hInF2oXYu8hbosLx78w.gif
3874819	182	1000x600	26870	0	0	False	False	0	99ab9b21d973	archive/raw/52f9657fa7a/images/005-1_31XAuFgaeln-mrjxxRzdxA.gif
3831073	117	1065x831	20850	0	0	False	False	0	ea571f65179f	archive/raw/0515d4c41a61/images/005-1_CYXJbXzmMGnuW_c_ktwkgA.gif
3648599	191	1510x906	19100	0	0	False	False	0	9fa356859123	archive/raw/ef4a00a0d925/images/003-1_pyLtQiOV5uzGk-VKAVyD4Q.gif
3618889	896	1196x648	89600	0	0	False	False	0	cb5bb3c4117f	archive/raw/2884a462e724/images/006-1_FnkBH8yA-PfCNCxXA2PNIw.gif
3591500	128	712x480	8540	0	0	False	False	0	39ff15d6ae75	archive/raw/fc998095081e/images/002-1__KUkFmq1lO3H-tx4XJPNew.gif
3580501	86	1000x600	9410	0	0	False	False	0	703284bcdc82	archive/raw/52f9657fa7a/images/006-1_lZT_nX-jH3jcMLFdhTUxXw.gif
3512628	265	1200x800	17150	0	0	False	False	0	884b684bed24	archive/raw/f6e2e41ab3fa/images/009-1_c1DIbxS6bZ7bHDcOTEIJfg.gif
3507159	376	1200x800	24600	0	0	False	False	0	461e895aea23	archive/raw/f6e2e41ab3fa/images/008-1_w7Y4wRz9h2OFMgm5MfdD0A.gif
3478271	161	1328x1124	4020	0	0	False	False	0	8e9b94e24d69	archive/raw/cda20dc15a21/images/006-1_0AABOZ_YoDUqcyOVlCT-SA.gif
3400179	312	626x313	62400	0	0	False	False	0	b65859a804f4	archive/raw/548780d0f40/images/002-1_Sst82t-Cm-DktVViFQ0I6w.gif
3397221	391	1200x800	23900	0	0	False	False	0	4695619b7ec3	archive/raw/f6e2e41ab3fa/images/007-1_SRr162bkckWsmoSMxVd2uQ.gif
3291112	150	800x424	15000	0	0	False	False	0	76714a49fe23	archive/raw/03e6b78bacc0/images/003-1_1eO0MShCVn71uIhAkC61ZA.gif
3251765	116	1000x600	18700	0	0	False	False	0	e0ff20f5b93c	archive/raw/52f9657fa7a/images/010-1_eUr0hcPcBInlp125yA7sHg.gif
3246927	658	1423x943	21930	0	0	False	False	0	cd5a7b611b46	archive/raw/4f58385e25bb/images/006-1_DXwxXMj-B1Jqpsx3RmUitA.gif
3149465	355	1500x1000	35500	0	0	False	False	0	096855d7c710	archive/raw/f6a2c08a4a93/images/002-1_imDFJcYj8k-apbrvIK9ZVQ.gif
3140496	124	1000x600	12600	0	0	False	False	0	493d37718ddc	archive/raw/29a97597fc33/images/005-1_au2ruI66bs1gx3AY3qtvlQ.gif
3139058	97	1000x600	14070	0	0	False	False	0	17307c07811f	archive/raw/261a65bd56fe/images/004-1_IULQ8LZDnLFMmB1nsbNF0Q.gif
3051454	120	600x641	6000	0	0	False	False	0	d24f0528783e	archive/raw/10eb9ea30980/images/001-0__zowwA1kefuHdpEX.gif
3038566	507	541x963	16910	0	0	False	False	0	20d735df1918	archive/raw/8096b8b223d0/images/010-1_w5BYbWktaFxHWKd-stlQGg.gif
2948023	194	1508x1017	19400	0	0	False	False	0	8dfeff7b0ba1	archive/raw/379e96bb199d/images/011-1_b-X9cmzXfq7NIXeEwfEzow.gif
2913684	268	2510x1040	14260	0	0	False	False	0	9563baf4380f	archive/raw/164eb2eae102/images/006-1_KIB7LU5YpN90zEh0-Czilg.gif
2896347	455	1200x675	30340	0	0	False	False	0	063059ae3503	archive/raw/f6e2e41ab3fa/images/006-1_2WBnuwRGkASGVNYUGjyPHg.gif
2860425	822	1266x996	20560	0	0	False	False	0	51633ea313d2	archive/raw/cda20dc15a21/images/002-1_-g4lwaLsCuTGDQUR9IBYxA.gif
2698276	93	1200x750	3720	0	0	False	False	0	607894095942	archive/raw/0c89c4200f79/images/002-1_EFPxwNDTRN3933qULcA3Rg.gif
2695870	153	1000x600	25880	0	0	False	False	0	4406afa040f1	archive/raw/a8828a54ab63/images/005-1_0l66uLHE51IpGlDLsOf2kw.gif
2624754	391	1146x615	39100	0	0	False	False	0	14a8ca3e9fa6	archive/raw/fe9b54227d92/images/009-1_ro5Ggdstnf0DoqhTUWGq3A.gif
2592097	297	1918x968	29700	0	0	False	False	0	8a807a1bf070	archive/raw/789fcb1a5857/images/004-1_y6-MX2tjbBavUr3GHFDnIw.gif
2385902	75	1000x600	10560	0	0	False	False	0	45c9130db169	archive/raw/52f9657fa7a/images/004-1_3t7T3EGIeA10R0XrrM9ZVw.gif
2356718	198	1882x987	35400	0	0	False	False	0	aa2dc3417df7	archive/raw/8a431c2b353e/images/002-1_J_f7YGDoufB7bBw_Ik7HuA.gif
2347782	168	964x506	37320	0	0	False	False	0	f518dcdbc764	archive/raw/fe9b54227d92/images/005-1_lGVLY4fL1ytMfT-eWtoXkw.gif
2322686	575	1279x650	38340	0	0	False	False	0	63fbb7a35495	archive/raw/cbf7aa8bc72e/images/005-0_-5xZV1SW6nA4ARWx.gif
2322539	208	2524x1012	27250	0	0	False	False	0	f9225308e100	archive/raw/11e5dab7c54/images/004-1_1EEekwYT-JCARQoQgUJdJg.gif
2308636	241	1500x900	24100	0	0	False	False	0	d1a9d23a0c1c	archive/raw/f6a2c08a4a93/images/003-1_ce142q3rm3TgJZVNEgGWcw.gif
2290462	367	2000x1200	30580	0	0	False	False	0	54b8bc2af0f4	archive/raw/edb3f80dc1c0/images/002-1_dkyeiiagy9zZnfCxjkCgPg.gif
2249368	342	1500x1000	34200	0	0	False	False	0	375f8f81fe5f	archive/raw/f6a2c08a4a93/images/005-1_iBz5dUYHT5N9dbymPKTGCg.gif
2233651	233	1026x747	59490	0	0	False	False	0	190edf3f56c6	archive/raw/3648c306b91a/images/008-1_BkIHAJsG4Fs7-8aD3k-4GA.gif
2188857	202	2000x1200	16830	0	0	False	False	0	bf2504311163	archive/raw/edb3f80dc1c0/images/005-1_UxMOxMnDiheATrA044BK5A.gif
2140737	105	1376x982	15670	0	0	False	False	0	da212010359b	archive/raw/cda20dc15a21/images/010-1_v8D4SUV9rkTKQ6nnL6Yfsg.gif
2026250	202	1149x747	47210	0	0	False	False	0	206b204a14d5	archive/raw/3648c306b91a/images/006-1_X7c10sZzH5qbv5kpAUOMBA.gif
2025498	1523	1024x696	76150	0	0	False	False	0	8e1e65f2a0bf	archive/raw/a4ad73a1a718/images/002-1_O0nYHhfEne2BH4XsknaPhg.gif
2008940	298	1600x900	9930	0	0	False	False	0	a1fb012b5dc2	archive/raw/f6e2e41ab3fa/images/011-1_kPYtSDP3aE5_M5AmDT-Uvw.gif
1962270	324	1992x860	19700	0	0	False	False	0	3f6879f69ae0	archive/raw/f6e2e41ab3fa/images/004-1_HwMx3Fd6iICkWjjvUCtvwA.gif
1960778	236	1580x1074	25900	0	0	False	False	0	091e2a0478c0	archive/raw/a4ad73a1a718/images/003-1_xv77xrNuUHKLjLinum0dlQ.gif
1860017	555	3340x1517	55500	0	0	False	False	0	1fe2f30cede2	archive/raw/b8dff6a9d8af/images/002-1_BBSKYgAom2NJoQLvOwyJLg.gif
1775362	807	1264x1278	20170	0	0	False	False	0	ceed93985e42	archive/raw/cda20dc15a21/images/013-1_Mr_2vTFlIfad2Wsbz6gmTQ.gif
1769093	606	1425x938	20210	0	0	False	False	0	4c20868ede05	archive/raw/4f58385e25bb/images/007-1_jg5drA_J783_IrqdLzye5w.gif
1763453	247	2548x1282	24700	0	0	False	False	0	c81161601f45	archive/raw/bfd06797f188/images/007-1_DqBf2bE3M7ynUy-Kv0qIbA.gif
1748966	88	1795x996	9310	0	0	False	False	0	809c1dcc37b6	archive/raw/8eb9e8f81f0/images/005-1_4qvN9PdUYf5-jq5rjYUAEQ.gif
1721805	34	1400x739	3400	0	0	False	False	0	37d257961f2c	archive/raw/2e432df402c8/images/008-0_yMSCAFt70y43daKm.gif
1706217	15	1000x600	3000	0	0	False	False	0	c89944cc167c	archive/raw/fcdf211e30a8/images/012-1_3XxIdWaB7HRmRDY_PzOGaQ.gif
1677509	297	1500x900	29700	0	0	False	False	0	71521771b64d	archive/raw/f6a2c08a4a93/images/008-1_grVVSeKyw7bXYU7fZmHgQQ.gif
1661769	39	1400x739	3900	0	0	False	False	0	46791333f440	archive/raw/2e432df402c8/images/007-0_A-2SpNknQua_D73o.gif
1638811	278	1019x674	60080	0	0	False	False	0	3d85fd9ee52f	archive/raw/3648c306b91a/images/001-1_X4bZbN5zydCMu6AJV3bP7A.gif
1625420	297	1500x900	29700	0	0	False	False	0	0d91ee13738c	archive/raw/bfd06797f188/images/003-0_OtsvahHJvfEvcziO.gif
1625398	280	800x732	28000	0	0	False	False	0	092f281da4c6	archive/raw/11e5dab7c54/images/005-1_gZRZp4X1SM1tiC3FHpDUTw.gif
1621745	200	800x430	13340	0	0	False	False	0	46165ccab9e0	archive/raw/6eb498a22178/images/003-1_hG86LjJfW9V_AVmjbAd_Pw.gif
1537104	297	1500x900	29700	0	0	False	False	0	19298b16c2b2	archive/raw/f6a2c08a4a93/images/006-1_e3k8ZgJoCp0Pm-yZ5Xr0Xg.gif
1503790	132	1000x600	24000	0	0	False	False	0	9b68804dad11	archive/raw/a8828a54ab63/images/002-1_yRpK3giBa1BLxxnepSE-kg.gif
1484117	132	1028x773	31930	0	0	False	False	0	cd3ef40b2203	archive/raw/cec528d5e460/images/005-1_ZmM2yk2twSA01msHOZU2sg.gif
1478176	246	1200x675	16390	0	0	False	False	0	a620a00e3e61	archive/raw/404cce3e1df6/images/003-1_OtluradnAZEDP_Cpe7x-hQ.gif
1435320	112	1000x600	11300	0	0	False	False	0	f316b227b707	archive/raw/29a97597fc33/images/004-1_hAGP5bJQ-2xN7w0dLprXig.gif
1384985	118	1394x933	11800	0	0	False	False	0	5328447c8a04	archive/raw/713b5630e457/images/004-1_TSiSmKHJOGE0PQ_c7alv1w.gif
1377114	237	1918x968	23700	0	0	False	False	0	11babc091a27	archive/raw/789fcb1a5857/images/003-1_t4EW3oCIrt5FaMXUyjYPFw.gif
1344686	61	1000x600	6400	0	0	False	False	0	3a43f6253ae7	archive/raw/29a97597fc33/images/002-1_44MjnyyY7En1fSyg3ZjUbg.gif
1326817	315	1918x968	31500	0	0	False	False	0	544e8555497f	archive/raw/789fcb1a5857/images/002-1_u0AnafiS2HtXhCiCMg25cA.gif
1303715	158	800x287	32600	0	0	False	False	0	ba118bba7421	archive/raw/388d05e03442/images/002-1_382cHBlUd2-kgWzpci8OOw.gif
1216902	937	1798x859	31230	0	0	False	False	0	6797988eedbc	archive/raw/8096b8b223d0/images/011-1_jJQM60b76hELGDQxWcRbNA.gif
1196122	781	1276x926	19520	0	0	False	False	0	8cdbda0b5ee6	archive/raw/cda20dc15a21/images/012-1_cIqICNLl2CTGoW5vdmyr-w.gif
1160574	74	1564x886	7400	0	0	False	False	0	2d8e49349660	archive/raw/2945985c032a/images/001-1_5W4lCfV_HPwSmFP88niiJg.gif
1157022	220	800x430	14670	0	0	False	False	0	48e7d0cdce0e	archive/raw/6eb498a22178/images/002-1_eWCCAx2Uyw7pf3DXCmbVyQ.gif
1130178	81	1254x729	17260	0	0	False	False	0	9eb7fa42b5c7	archive/raw/3648c306b91a/images/009-1_ebEfHbxI6JnOWu9sSgP-nA.gif
1127485	234	676x409	23400	0	0	False	False	0	cec1413002e3	archive/raw/435f67d10b4f/images/003-1_x-8g5Ux5j4wPmwI5TYSWkw.gif
1124122	71	1504x906	7100	0	0	False	False	0	4dedc18280f7	archive/raw/6084f96db263/images/002-1_0hhaIizZhuUGbSRCcsuZLA.gif
